BusinessDate,Weekday,Hotel Name,Currency,Inncode,FacilityID,Revenue,Sold,Available,Occ,ADR,RevPAR,F&B Revenue,TotalRevenue
3/15/2021,Monday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"3,332.36",38,71,53.52,87.69,46.93,0,"3,337.31"
3/16/2021,Tuesday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"7,069.48",80,99,80.81,88.37,71.41,0,"7,139.68"
3/16/2021,Tuesday,Hampton Inn Bowie,USD,DENMD,15671.0,"5,299.05",76,103,73.79,69.72,51.45,60,"5,364.00"
3/16/2021,Tuesday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"3,249.11",45,108,41.67,72.2,30.08,80,"3,385.21"
3/16/2021,Tuesday,Comfort Inn Orlando,USD,ORLFL,60421.0,"5,160.46",58,76,76.32,88.97,67.9,0,"5,214.16"
3/16/2021,Tuesday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"3,927.32",43,71,60.56,91.33,55.31,300,"4,232.27"
3/17/2021,Wednesday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"8,627.60",96,99,96.97,89.87,87.15,250,"9,794.52"
3/17/2021,Wednesday,Hampton Inn Bowie,USD,DENMD,15671.0,"5,125.11",75,103,72.82,68.33,49.76,85,"5,519.84"
3/17/2021,Wednesday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"2,300.69",29,108,26.85,79.33,21.3,0,"2,311.69"
3/17/2021,Wednesday,Comfort Inn Orlando,USD,ORLFL,60421.0,"7,348.29",76,76,100.0,96.69,96.69,0,"7,430.35"
3/17/2021,Wednesday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"4,257.28",48,71,67.61,88.69,59.96,0,"4,262.23"
3/18/2021,Thursday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"9,622.70",96,99,96.97,100.24,97.2,250,"9,942.78"
3/18/2021,Thursday,Hampton Inn Bowie,USD,DENMD,15671.0,"5,351.13",78,103,75.73,68.6,51.95,88,"5,453.98"
3/18/2021,Thursday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"2,489.73",35,108,32.41,71.14,23.05,0,"2,506.48"
3/18/2021,Thursday,Comfort Inn Orlando,USD,ORLFL,60421.0,"7,229.07",75,76,98.68,96.39,95.12,0,"7,289.23"
3/18/2021,Thursday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"3,446.13",40,71,56.34,86.15,48.54,0,"3,451.08"
3/19/2021,Friday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"11,219.49",94,99,94.95,119.36,113.33,250,"11,507.51"
3/19/2021,Friday,Hampton Inn Bowie,USD,DENMD,15671.0,"6,661.06",95,103,92.23,70.12,64.67,292.52,"7,209.47"
3/19/2021,Friday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"3,295.78",46,108,42.59,71.65,30.52,0,"3,340.13"
3/19/2021,Friday,Comfort Inn Orlando,USD,ORLFL,60421.0,"8,142.92",76,76,100.0,107.14,107.14,0,"8,261.95"
3/19/2021,Friday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"4,857.21",56,71,78.87,86.74,68.41,0,"4,862.16"
3/20/2021,Saturday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"10,977.57",94,99,94.95,116.78,110.88,0,"11,156.89"
3/20/2021,Saturday,Hampton Inn Bowie,USD,DENMD,15671.0,"6,637.68",96,103,93.2,69.14,64.44,41,"6,683.63"
3/20/2021,Saturday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"2,093.83",33,108,30.56,63.45,19.39,0,"2,124.92"
3/20/2021,Saturday,Comfort Inn Orlando,USD,ORLFL,60421.0,"8,563.68",75,76,98.68,114.18,112.68,0,"8,644.95"
3/20/2021,Saturday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"5,345.03",59,71,83.1,90.59,75.28,0,"5,349.98"
3/21/2021,Sunday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"4,741.70",58,99,58.59,81.75,47.9,0,"4,800.70"
3/21/2021,Sunday,Hampton Inn Bowie,USD,DENMD,15671.0,"5,629.24",78,103,75.73,72.17,54.65,115.47,"5,744.71"
3/21/2021,Sunday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"2,533.78",36,108,33.33,70.38,23.46,0,"2,551.78"
3/21/2021,Sunday,Comfort Inn Orlando,USD,ORLFL,60421.0,"4,275.62",49,76,64.47,87.26,56.26,0,"4,403.50"
3/21/2021,Sunday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"3,249.52",38,71,53.52,85.51,45.77,0,"3,249.52"
3/22/2021,Monday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"5,571.63",65,99,65.66,85.72,56.28,150,"5,795.92"
3/22/2021,Monday,Hampton Inn Bowie,USD,DENMD,15671.0,"6,991.53",94,103,91.26,74.38,67.88,62.4,"7,181.89"
3/22/2021,Monday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"3,625.99",48,108,44.44,75.54,33.57,0,"3,649.59"
3/22/2021,Monday,Comfort Inn Orlando,USD,ORLFL,60421.0,"3,831.79",40,76,52.63,95.79,50.42,0,"3,907.65"
3/22/2021,Monday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"3,474.17",42,71,59.15,82.72,48.93,0,"3,474.17"
3/23/2021,Tuesday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"6,331.68",72,99,72.73,87.94,63.96,200,"6,679.76"
3/23/2021,Tuesday,Hampton Inn Bowie,USD,DENMD,15671.0,"5,187.33",73,103,70.87,71.06,50.36,21,"5,392.20"
3/23/2021,Tuesday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"4,226.89",53,108,49.07,79.75,39.14,200,"4,446.39"
3/23/2021,Tuesday,Comfort Inn Orlando,USD,ORLFL,60421.0,"5,572.49",59,76,77.63,94.45,73.32,0,"5,691.27"
3/23/2021,Tuesday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"3,843.00",43,71,60.56,89.37,54.13,0,"3,843.00"
